id,name,kind,category,icon,representative_peak_mass_kg,body_length_m,shoulder_or_body_height_m,burst_speed_kph,effective_reach_m,attack,defense,durability,agility,stamina,intelligence,aggression,coordination,morale,armor,multi_target,habitats,attack_modes,traits,can_fly,aquatic,venomous,ranged,regenerates,undead_or_construct,data_confidence,source_label,source_url,model_notes
african-bush-elephant,African bush elephant,animal,megafauna,🐘,6500,7.5,3.8,40,3.0,91,94,96,35,82,60,65,68,88,78,72,savanna; open,tusk; trample; charge,thick-hide; herd,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/African_bush_elephant,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
asian-elephant,Asian elephant,animal,megafauna,🐘,5400,6.4,3.2,40,2.7,88,92,94,38,82,62,62,70,88,76,70,forest; savanna,tusk; trample; charge,thick-hide; herd,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Asian_elephant,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
white-rhinoceros,White rhinoceros,animal,megafauna,🦏,2300,4.2,1.85,50,2.2,90,92,92,47,70,35,78,38,90,88,62,savanna; open,horn; charge; trample,thick-hide,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/White_rhinoceros,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
hippopotamus,Hippopotamus,animal,megafauna,🦛,3200,4.9,1.6,30,1.7,94,92,95,42,72,45,92,42,91,76,65,river; swamp; savanna,bite; charge; crush,amphibious; thick-hide,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Hippopotamus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
giraffe,Giraffe,animal,megafauna,🦒,1200,5.5,5.3,60,2.8,79,66,74,55,68,45,55,42,76,34,58,savanna; open,kick; stomp; neck-swing,height,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Giraffe,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
cape-buffalo,Cape buffalo,animal,large-herbivore,🐃,900,3.4,1.7,57,1.5,84,82,84,52,78,42,84,65,90,66,58,savanna; open,horn; charge; trample,herd,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/African_buffalo,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
moose,Moose,animal,large-herbivore,🫎,700,3.1,2.1,56,1.8,77,70,76,54,72,40,65,35,78,45,55,forest; snow; swamp,antler; kick; charge,cold-adapted; swimmer,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Moose,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
elk,Elk,animal,large-herbivore,🦌,480,2.7,1.55,64,1.5,70,61,68,61,74,40,58,48,73,32,52,forest; open,antler; kick; charge,herd,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Elk,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
horse,Horse,animal,domestic,🐎,600,2.5,1.7,70,1.4,71,58,68,67,80,48,45,62,68,24,47,open; farm,kick; bite; trample,herd; domestic,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Horse,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
breeding-bull,Breeding bull,animal,domestic,🐂,1100,2.6,1.75,40,1.5,80,78,82,43,70,40,75,42,82,58,56,farm; open,horn; charge; trample,domestic,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Bull,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
